category_id,category_raw_name,category_display_name,act_group,parent_category,is_leaf,section_reference
38,cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - CounterfeitingB) Stamps (Sec.255),CounterfeitingB) Stamps (Sec.255),IPC,IPC Crimes,1,Sec.255
39,"cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Cyber Blackmailing/ Threatening (Sec.506,503,384 IPC)","Cyber Blackmailing/ Threatening (Sec.506,503,384 IPC)",IPC,IPC Crimes,1,"Sec.506,503,384 IPC"
40,cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Fake News on Social Media (Sec.505),Fake News on Social Media (Sec.505),IPC,IPC Crimes,1,Sec.505
41,cat__B. IPC Crimes(Involving Communication Devices as Medium/Target or r/w IT Act) - Other Offences (r/w IT Act),Other Offences (r/w IT Act),IPC,IPC Crimes,1,
42,cat__Total Offences under IPC,Total Offences under IPC,IPC,IPC Crimes,0,
43,cat__C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Gambling Act (Online Gambling),Gambling Act (Online Gambling),SLL,Offences under SLL,1,
44,cat__C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Lotteries Act (Online Lotteries),Lotteries Act (Online Lotteries),SLL,Offences under SLL,1,
45,"cat__C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Copy Right Act, 1957","Copy Right Act, 1957",SLL,Offences under SLL,1,
46,"cat__C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT Act - Trade Marks Act, 1999","Trade Marks Act, 1999",SLL,Offences under SLL,1,
47,cat__C. Offences under SLL (Involving Communication Devices as Medium/ Target) r/w IT ActOther SLL Crimes,Other SLL Crimes,SLL,Offences under SLL,1,
48,cat__Total Offences under SLL,Total Offences under SLL,SLL,Offences under SLL,0,
49,cat__Total Cyber Crimes (IT Act + IPC r/w IT Act + SLL r/w IT Act),Total Cyber Crimes (Grand Total),Grand Total,,0,
